stage,foldin_global_gram,foldin_reg,foldin_alpha,cf_bias,objective,full_ndcg@20,full_recall@20,full_coverage@20,cold5_ndcg@20,cold5_recall@20,cold5_coverage@20,cf_max,cf_half_life,popularity,quality
1,True,10.0,1.0,0.0,0.13009288334746177,0.17366188963669604,0.1743653042777656,0.4293,0.08652387705822748,0.08273494437708834,0.4963,,,,
2,True,1.0,5.0,0.0,0.1275566197446181,0.17159441841028547,0.17380803120168445,0.434,0.08351882107895071,0.0805830359526954,0.5123,0.6,5.0,0.15,0.0
1,True,10.0,20.0,0.0,0.12708459379880632,0.16772086024667718,0.17090634267263521,0.3972,0.08644832735093544,0.08247195732114462,0.4937,,,,
1,True,1.0,20.0,0.0,0.12704947137719758,0.16765362065598546,0.17085634267263528,0.3973,0.08644532209840966,0.08247195732114462,0.4939,,,,
1,True,0.1,20.0,0.0,0.12703143374246617,0.16761754538652268,0.17078967600596856,0.3973,0.08644532209840966,0.08247195732114462,0.4939,,,,
2,True,1.0,5.0,0.0,0.12284225861803455,0.16094691448942552,0.16196613037375424,0.5438,0.08473760274664356,0.07931971267466625,0.6176,0.8,2.0,0.05,0.1
2,True,1.0,5.0,0.0,0.12058229518800835,0.15775858555719033,0.1607957291676332,0.5755,0.08340600481882637,0.07845991593545773,0.6406,0.95,2.0,0.05,0.1
2,True,1.0,5.0,0.0,0.12026364414422318,0.1589264078929723,0.16129628190437015,0.5678,0.08160088039547406,0.07792856420325461,0.5891,0.95,5.0,0.05,0.1
2,True,1.0,5.0,0.0,0.12023619648693082,0.16169371764404672,0.1627402677559798,0.5351,0.07877867532981492,0.07529420340581332,0.5739,0.8,5.0,0.05,0.1
2,True,1.0,5.0,0.0,0.12003193955059577,0.15738939545180147,0.1595658555496791,0.5643,0.08267448364939005,0.07822506892402405,0.6357,0.8,2.0,0.05,0.0
2,True,1.0,5.0,0.0,0.11977693750778212,0.15846403282003604,0.160301070944879,0.4895,0.0810898421955282,0.07727923395833612,0.5854,0.6,2.0,0.05,0.1
2,True,1.0,5.0,0.0,0.11876126523991767,0.1545342856098361,0.15807855077928604,0.5941,0.08298824486999924,0.07941299298826388,0.6596,0.95,2.0,0.05,0.0
2,True,1.0,5.0,0.0,0.11749850229449676,0.1555134230566163,0.15820195225740888,0.5876,0.07948358153237722,0.07584442597735941,0.6094,0.95,5.0,0.05,0.0
2,True,1.0,5.0,0.0,0.11730190497257939,0.15738442112232018,0.16014728929051683,0.5555,0.0772193888228386,0.07493150366575288,0.5904,0.8,5.0,0.05,0.0
2,True,1.0,5.0,0.0,0.1168666894052454,0.15481855643496384,0.15650011871083855,0.508,0.07891482237552697,0.07583143006803997,0.604,0.6,2.0,0.05,0.0
2,True,1.0,5.0,0.0,0.11570491194684095,0.15761632631377578,0.15853516944441867,0.4795,0.07379349757990611,0.07075129437555909,0.552,0.6,5.0,0.05,0.1
2,True,1.0,5.0,0.0,0.1147263140134443,0.1516514100919014,0.1535319916194916,0.5693,0.07780121793498719,0.07223059617970608,0.6324,0.8,2.0,0.0,0.1
2,True,1.0,5.0,0.0,0.11284455884052469,0.14819642709520064,0.15172120600417816,0.5972,0.07749269058584872,0.07262487581647799,0.6546,0.95,2.0,0.0,0.1
2,True,1.0,5.0,0.0,0.11262498555522833,0.14888919246210525,0.15147963554333524,0.5883,0.07636077864835142,0.07225206498867488,0.6531,0.8,2.0,0.0,0.0
2,True,1.0,5.0,0.0,0.11235105965139952,0.15319409156925834,0.1553506299857693,0.4992,0.07150802773354072,0.06876448331080684,0.5656,0.6,5.0,0.05,0.0
2,True,1.0,5.0,0.0,0.11231812885685943,0.1523182542415988,0.15528132192454946,0.5598,0.07231800347212007,0.06861011666352224,0.5899,0.8,5.0,0.0,0.1
2,True,1.0,5.0,0.0,0.11223976565248306,0.1498099928685831,0.15292342786212754,0.591,0.07466953843638302,0.0692238490697469,0.6066,0.95,5.0,0.0,0.1
2,True,1.0,5.0,0.0,0.11129351523831688,0.14502743563536932,0.1481555029378946,0.6155,0.07755959484126443,0.07342764747292611,0.675,0.95,2.0,0.0,0.0
2,True,1.0,5.0,0.0,0.11115415846844981,0.14815950911605727,0.14939134590899295,0.5128,0.07414880782084236,0.06934969493440854,0.6018,0.6,2.0,0.0,0.1
2,True,1.0,5.0,0.0,0.11034963729562851,0.14643041820695074,0.14910699311438474,0.6084,0.07426885638430628,0.07020330809111769,0.6262,0.95,5.0,0.0,0.0
2,True,1.0,5.0,0.0,0.1096550457970066,0.14880260705285922,0.15195425799690507,0.582,0.07050748454115398,0.06657971579504086,0.6042,0.8,5.0,0.0,0.0
2,True,1.0,5.0,0.0,0.10942057565812227,0.1455929505395391,0.14814407548935413,0.5333,0.07324820077670545,0.06950148558871469,0.6214,0.6,2.0,0.0,0.0
2,True,1.0,5.0,0.0,0.10692469288284415,0.14688659345053165,0.14840363249581515,0.5037,0.06696279231515663,0.06441315068230702,0.5657,0.6,5.0,0.0,0.1
2,True,1.0,5.0,0.0,0.10442268038257874,0.14342998447305028,0.1460911400476029,0.5234,0.0654153762921072,0.061798129918756856,0.5831,0.6,5.0,0.0,0.0
1,False,10.0,1.0,1.0,0.09751942443624276,0.11044716816486727,0.11168952711804879,0.0779,0.08459168070761823,0.08325250585757552,0.2549,,,,
1,False,10.0,1.0,0.0,0.09159233651017619,0.09929272111004783,0.10466261666609963,0.3371,0.08389195191030455,0.08132108858204058,0.4448,,,,
1,False,10.0,5.0,1.0,0.09148986957401589,0.10079506227353434,0.101948711011211,0.0742,0.08218467687449743,0.08114317973048624,0.2432,,,,
1,False,1.0,1.0,1.0,0.08907818074276845,0.09330989370315287,0.09497906586877175,0.1884,0.08484646778238403,0.0833342221804683,0.2801,,,,
1,False,10.0,20.0,1.0,0.08872961092876702,0.09544314296198868,0.09637995329833565,0.1137,0.08201607889554535,0.08078941872540943,0.241,,,,
1,True,1.0,20.0,1.0,0.08833394689140145,0.10044944580965078,0.09897561590885894,0.0189,0.07621844797315212,0.0757442831935866,0.1977,,,,
1,True,0.1,20.0,1.0,0.08833394689140145,0.10044944580965078,0.09897561590885894,0.0189,0.07621844797315212,0.0757442831935866,0.1977,,,,
1,True,10.0,20.0,1.0,0.0883315235565345,0.10044787693699601,0.09897561590885894,0.0189,0.07621517017607297,0.0757442831935866,0.1977,,,,
1,False,1.0,5.0,1.0,0.08516513444260962,0.08817245141231697,0.08951231252407724,0.1792,0.08215781747290225,0.08075929515101342,0.249,,,,
1,True,10.0,5.0,1.0,0.08505139604858045,0.09492207737113484,0.09323412341442526,0.0152,0.07518071472602607,0.07484389577570692,0.1939,,,,
1,True,0.1,5.0,1.0,0.08505131717879759,0.09492191963156911,0.09323412341442526,0.0152,0.07518071472602607,0.07484389577570692,0.1939,,,,
1,True,1.0,5.0,1.0,0.08505131717879759,0.09492191963156911,0.09323412341442526,0.0152,0.07518071472602607,0.07484389577570692,0.1939,,,,
1,True,0.1,1.0,1.0,0.08284947958418767,0.09101983054595933,0.08900608689126491,0.0137,0.07467912862241602,0.07425486638404594,0.193,,,,
1,True,1.0,1.0,1.0,0.08284947958418767,0.09101983054595933,0.08900608689126491,0.0137,0.07467912862241602,0.07425486638404594,0.193,,,,
1,True,10.0,1.0,1.0,0.0828476976871513,0.09101626675188661,0.08900608689126491,0.0137,0.07467912862241602,0.07425486638404594,0.193,,,,
1,False,1.0,20.0,1.0,0.08173945468736427,0.08153100545190806,0.08240520604696301,0.2179,0.08194790392282048,0.08078615075155322,0.2425,,,,
1,False,10.0,5.0,0.0,0.07866434256364098,0.07393182008766985,0.0779811086359461,0.3793,0.0833968650396121,0.08123498255270699,0.4416,,,,
1,False,0.1,5.0,1.0,0.07854396016527629,0.07490797356593973,0.07694380033880807,0.2702,0.08217994676461285,0.08075929515101342,0.25,,,,
1,False,0.1,20.0,1.0,0.07764886090200286,0.07335116148089468,0.0754352413109766,0.2764,0.08194656032311104,0.08078615075155322,0.2427,,,,
1,False,0.1,1.0,1.0,0.07732487621029177,0.07010480619643275,0.07443864504088962,0.3029,0.0845449462241508,0.0833569785907247,0.2839,,,,
1,False,1.0,1.0,0.0,0.07009274808985948,0.05813456033291783,0.06306801954065885,0.4167,0.08205093584680112,0.08043110254468612,0.4421,,,,
1,False,10.0,20.0,0.0,0.06984255734936004,0.05615305556649711,0.06217481897187779,0.4186,0.08353205913222297,0.08162979093060363,0.4402,,,,
1,False,1.0,5.0,0.0,0.06465280124283887,0.04638905546365574,0.052860269701059164,0.4399,0.082916547022022,0.08102306987388257,0.4389,,,,
1,False,1.0,20.0,0.0,0.061184029593305767,0.039049696894039955,0.04570465705605024,0.4567,0.08331836229257158,0.08133620118701389,0.4397,,,,
1,False,0.1,5.0,0.0,0.05918021927856458,0.03560257491559202,0.04265739731544685,0.4637,0.08275786364153714,0.08081281346362616,0.439,,,,
1,False,0.1,1.0,0.0,0.059125467004003514,0.03642668598398359,0.043225672242274416,0.459,0.08182424802402344,0.08048939188606372,0.4407,,,,
1,False,0.1,20.0,0.0,0.058878550786466845,0.034441401058083396,0.041471731489185044,0.468,0.0833157005148503,0.08133620118701389,0.4397,,,,
